iso3,date,year,actual_target,risk_raw,risk_calibrated
AGO,2006-08-31,2006,0,0.057627267131430196,0.00913464970583402
AGO,2006-09-30,2006,0,0.059943966745488006,0.009115308745189031
AGO,2006-10-31,2006,0,0.054692482402461516,0.009159209136281918
AGO,2006-11-30,2006,0,0.04304301231622947,0.00925734336628732
AGO,2006-12-31,2006,0,0.04816924761396981,0.009214032679713918
AGO,2007-01-31,2007,0,0.05541463357198511,0.010691247460863479
AGO,2007-02-28,2007,0,0.06929928949103446,0.01048207308009404
AGO,2007-03-31,2007,0,0.06956657984587221,0.01047808629321187
AGO,2007-04-30,2007,0,0.04872063321673405,0.010793563573334266
AGO,2007-05-31,2007,0,0.03629772716619528,0.010986017529566681
AGO,2007-06-30,2007,0,0.03806434440425577,0.01095844375228843
AGO,2007-07-31,2007,0,0.038864209013221775,0.010945981796822256
AGO,2007-08-31,2007,0,0.04387137734977183,0.010868287572911388
AGO,2007-09-30,2007,0,0.04392086792511842,0.010867522375943062
AGO,2007-10-31,2007,0,0.042880327356856464,0.010883621883454483
AGO,2007-11-30,2007,0,0.0653112825148826,0.010541735014376722
AGO,2007-12-31,2007,0,0.06118242066672574,0.010603858161786722
AGO,2008-01-31,2008,0,0.07905273137356375,0.010186704019561687
AGO,2008-02-29,2008,0,0.07661474899334629,0.01022175859159862
AGO,2008-03-31,2008,0,0.08745513526098195,0.010066799123591635
AGO,2008-04-30,2008,0,0.0638101677971304,0.01040783880547274
AGO,2008-05-31,2008,0,0.1246296485843828,0.009552855461218038
AGO,2008-06-30,2008,0,0.11929267216877192,0.009625010666699314
AGO,2008-07-31,2008,0,0.1288254132912779,0.009496505633839416
AGO,2008-08-31,2008,0,0.12400555579901802,0.009561265375486098
AGO,2008-09-30,2008,0,0.12409746189522516,0.009560026441737953
