iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CHL,2004-06-30,2004,6,636.59,0.006752909919028216,0.006730211154018298,False
CHL,2004-07-31,2004,7,638.37,0.002796148227273365,0.0027922462767479652,False
CHL,2004-08-31,2004,8,628.95,-0.014756332534423544,-0.014866290265333346,False
CHL,2004-09-30,2004,9,606.96,-0.03496303362747433,-0.03558887125506192,False
CHL,2004-10-31,2004,10,615.2,0.013575853433504648,0.013484527161614789,False
CHL,2004-11-30,2004,11,588.18,-0.043920676202861,-0.04491439468974459,False
CHL,2004-12-31,2004,12,559.83,-0.048199530755890896,-0.049399857288199636,False
CHL,2005-01-31,2005,1,586.18,0.04706785988603657,0.045993743432820346,False
CHL,2005-02-28,2005,2,577.52,-0.014773619024872842,-0.014883835815404936,False
CHL,2005-03-31,2005,3,586.45,0.015462667959551313,0.015344339136608617,False
CHL,2005-04-30,2005,4,582.87,-0.0061045272401739625,-0.006123236044382879,False
CHL,2005-05-31,2005,5,580.2,-0.00458078130629469,-0.004591305235827554,False
CHL,2005-06-30,2005,6,578.92,-0.002206135815236321,-0.002208572917900016,False
CHL,2005-07-31,2005,7,563.44,-0.02673944586471344,-0.027103448332248745,False
CHL,2005-08-31,2005,8,545.02,-0.032692034644327794,-0.033238359199532025,False
CHL,2005-09-30,2005,9,533.69,-0.02078822795493729,-0.021007345191496885,False
CHL,2005-10-31,2005,10,543.72,0.018793681725346012,0.01861926242092104,False
CHL,2005-11-30,2005,11,518.96,-0.04553814463326711,-0.046607599562247165,False
CHL,2005-12-31,2005,12,514.21,-0.009152921227069566,-0.009195066576389287,False
CHL,2006-01-31,2006,1,524.78,0.020555804048929316,0.020347384819175696,False
CHL,2006-02-28,2006,2,517.76,-0.013377034185753978,-0.013467312717514288,False
CHL,2006-03-31,2006,3,527.7,0.019198084054388165,0.01901612598155003,False
CHL,2006-04-30,2006,4,518.62,-0.01720674625734331,-0.01735650268238372,False
CHL,2006-05-31,2006,5,531.11,0.0240831437275848,0.023797718367646208,False
CHL,2006-06-30,2006,6,547.31,0.03050215586225069,0.03004621340077415,False
CHL,2006-07-31,2006,7,539.41,-0.01443423288447132,-0.014539419846338665,False
CHL,2006-08-31,2006,8,537.77,-0.003040358910661678,-0.0030449901913670997,False
CHL,2006-09-30,2006,9,538.22,0.000836788961823931,0.0008364390491290638,False
CHL,2006-10-31,2006,10,525.99,-0.02272305005388131,-0.022985197358935498,False
CHL,2006-11-30,2006,11,529.29,0.006273883533907343,0.006254284657937175,False
CHL,2006-12-31,2006,12,534.43,0.009711122447051634,0.009664272563239715,False
CHL,2007-01-31,2007,1,545.18,0.02011488875998735,0.019915256992420624,False
CHL,2007-02-28,2007,2,538.42,-0.012399574452474416,-0.012477090620636812,False
CHL,2007-03-31,2007,3,539.37,0.0017644218268266787,0.0017628670632057822,False
CHL,2007-04-30,2007,4,527.08,-0.02278584274245876,-0.02304945212926177,False
CHL,2007-05-31,2007,5,527.52,0.0008347878879866322,0.0008344396463694475,False
CHL,2007-06-30,2007,6,527.46,-0.00011373976342121672,-0.0001137462322786238,False
CHL,2007-07-31,2007,7,523.08,-0.008303947218746388,-0.008338617052840629,False
CHL,2007-08-31,2007,8,524.63,0.002963217863424239,0.0029588361871447227,False
CHL,2007-09-30,2007,9,511.72,-0.024607818843756513,-0.024915651776612095,False
CHL,2007-10-31,2007,10,494.64,-0.03337762839052616,-0.03394737519852103,False
CHL,2007-11-30,2007,11,508.47,0.02795972828723925,0.027575991447759494,False
CHL,2007-12-31,2007,12,495.82,-0.024878557240348598,-0.025193259064263094,False
CHL,2008-01-31,2008,1,465.3,-0.06155459642612238,-0.06353059878320691,False
CHL,2008-02-29,2008,2,458.02,-0.015645819901139113,-0.015769507567571887,False
CHL,2008-03-31,2008,3,439.09,-0.04133007292257984,-0.04220844783030123,False
CHL,2008-04-30,2008,4,459.16,0.045708169168052315,0.04469432974456638,False
CHL,2008-05-31,2008,5,479.66,0.04464674623225018,0.043678786384723264,False
CHL,2008-06-30,2008,6,520.14,0.08439311178751607,0.08102048652658467,False
CHL,2008-07-31,2008,7,502.78,-0.03337562963817442,-0.033945307431061916,False
CHL,2008-08-31,2008,8,516.47,0.027228608934325216,0.026864504942591516,False
CHL,2008-09-30,2008,9,552.47,0.06970395182682432,0.06738192965501556,False
CHL,2008-10-31,2008,10,664.96,0.20361286585696958,0.18532775519565858,False
CHL,2008-11-30,2008,11,659.43,-0.008316289701636337,-0.008351062962716147,False
CHL,2008-12-31,2008,12,629.11,-0.04597910316485443,-0.04706970333439331,False
CHL,2009-01-31,2009,1,612.43,-0.026513646262180002,-0.026871472000212126,False
CHL,2009-02-28,2009,2,595.76,-0.027219437323449114,-0.02759674877109628,False
CHL,2009-03-31,2009,3,582.1,-0.022928696119242642,-0.023195647124700264,False
CHL,2009-04-30,2009,4,588.62,0.011200824600584136,0.01113855987747325,False
CHL,2009-05-31,2009,5,564.64,-0.040739356460874565,-0.04159245422820307,False
CHL,2009-06-30,2009,6,529.07,-0.06299589118730509,-0.06506761168108283,False
CHL,2009-07-31,2009,7,541.9,0.02425009923072552,0.02396073432619143,False
CHL,2009-08-31,2009,8,550.64,0.016128436980992866,0.015999755518040292,False
CHL,2009-09-30,2009,9,546.07,-0.008299433386604549,-0.008334065434573552,False
CHL,2009-10-31,2009,10,531.74,-0.026242056879154707,-0.026592524581827592,False
CHL,2009-11-30,2009,11,495.84,-0.06751419866852226,-0.06990135403426945,False
CHL,2009-12-31,2009,12,506.43,0.021357696030977813,0.021132816741968964,False
CHL,2010-01-31,2010,1,531.75,0.04999703809016043,0.048787343298939474,False
CHL,2010-02-28,2010,2,529.69,-0.0038740009402913334,-0.0038815243186028944,False
CHL,2010-03-31,2010,3,526.29,-0.006418848760595952,-0.006439538152540595,False
CHL,2010-04-30,2010,4,520.99,-0.010070493454179208,-0.010121543898005993,False
CHL,2010-05-31,2010,5,529.23,0.015816042534405605,0.01569227226522714,False
CHL,2010-06-30,2010,6,543.09,0.02618899155376675,0.025851932079537922,False
CHL,2010-07-31,2010,7,522.36,-0.03817046898304155,-0.03891804670375575,False
CHL,2010-08-31,2010,8,499.26,-0.044222375373305756,-0.04523000321181295,False
CHL,2010-09-30,2010,9,485.23,-0.028101590353723505,-0.028503996808780335,False
CHL,2010-10-31,2010,10,491.76,0.013457535601673287,0.013367787267140678,False
CHL,2010-11-30,2010,11,486.39,-0.010919960956564223,-0.010980021368666583,False
CHL,2010-12-31,2010,12,468.37,-0.03704845905549037,-0.037752189380048505,False
CHL,2011-01-31,2011,1,483.32,0.03191920917223556,0.0314203783090685,False
CHL,2011-02-28,2011,2,475.63,-0.015910783745758494,-0.01603871911483867,False
CHL,2011-03-31,2011,3,482.08,0.013560961251392945,0.0134698343377224,False
CHL,2011-04-30,2011,4,460.04,-0.045718552937271784,-0.04679663315761043,False
CHL,2011-05-31,2011,5,467.31,0.015802973654464703,0.015679406782243426,False
CHL,2011-06-30,2011,6,471.13,0.008174445229077065,0.008141215419025976,False
CHL,2011-07-31,2011,7,455.91,-0.032305308513573716,-0.03283864281202665,False
CHL,2011-08-31,2011,8,465.66,0.021385799828913532,0.021160332480478918,False
CHL,2011-09-30,2011,9,515.14,0.10625778464974434,0.10098295428676315,False
CHL,2011-10-31,2011,10,492.04,-0.04484217882517372,-0.04587869438028143,False
CHL,2011-11-30,2011,11,524.25,0.06546215754816687,0.06340865578144511,False
CHL,2011-12-31,2011,12,521.46,-0.005321888412017084,-0.005336100104605522,False
CHL,2012-01-31,2012,1,488.99,-0.06226747976834279,-0.06429053030940429,False
CHL,2012-02-29,2012,2,477.41,-0.023681465878647834,-0.0239663788875305,False
CHL,2012-03-31,2012,3,489.76,0.02586875013091472,0.025539814716613353,False
CHL,2012-04-30,2012,4,483.41,-0.01296553413917012,-0.013050320339868146,False
CHL,2012-05-31,2012,5,517.91,0.07136798990504944,0.06893632713306241,False
CHL,2012-06-30,2012,6,509.73,-0.01579424996621026,-0.01592030822451956,False
CHL,2012-07-31,2012,7,482.83,-0.05277303670570699,-0.05421654894178827,False
CHL,2012-08-31,2012,8,481.17,-0.0034380630863865003,-0.0034439868065924864,False
CHL,2012-09-30,2012,9,470.48,-0.02221668017540579,-0.02246718786569576,False
CHL,2012-10-31,2012,10,480.03,0.02029841863628623,0.020095151797192342,False
CHL,2012-11-30,2012,11,479.42,-0.0012707539112137844,-0.0012715620036288264,False
CHL,2012-12-31,2012,12,478.6,-0.0017104000667472752,-0.0017118644709910717,False
CHL,2013-01-31,2013,1,471.4,-0.015043877977434228,-0.015158184972242255,False
