iso3,date,depreciation,reserve_growth,emp,emp_crisis_15,emp_crisis_20
ARG,1994-11-30,-0.0008004002001,-0.004312174667581381,0.043126814732675295,0,0
ARG,1994-12-31,0.0008010413537598,0.10799233223402527,-1.2188551130559695,0,0
ARG,1995-01-31,0.0005002501250623,-0.15897327825023766,1.8063651545083284,0,0
ARG,1995-02-28,0.0,-0.05812287502668512,0.6591133669952512,0,0
ARG,1995-03-31,0.0,-0.2554258425147574,2.8965288967589156,1,0
ARG,1995-04-30,0.0,0.1544885278994783,-1.7518998112054043,0,0
ARG,1995-05-31,0.0,-0.06218361530449068,0.7051621592438941,0,0
ARG,1995-06-30,0.0,0.18523633245424143,-2.1005798959138304,0,0
ARG,1995-07-31,0.0,0.018670305186563096,-0.2117212493135396,0,0
ARG,1995-08-31,0.0,-0.13285250657421976,1.5065473427061264,0,0
ARG,1995-09-30,0.0,0.1667905605878368,-1.8914048543125614,0,0
ARG,1995-10-31,0.0,-0.05754771507681877,0.6525910535181018,0,0
ARG,1995-11-30,0.0,0.0021267650101770563,-0.024117513905186395,0,0
ARG,1995-12-31,0.0,0.35358814156350205,-4.00968930749751,0,0
ARG,1996-01-31,0.0,-0.0882848496775509,1.00115014095439,0,0
ARG,1996-02-29,0.0,0.05767644091727431,-0.6540508044695643,0,0
ARG,1996-03-31,0.0,0.04678841297194136,-0.5305805742772008,0,0
ARG,1996-04-30,-0.0004999999999999,-0.038351051039275275,0.4312944222090555,0,0
ARG,1996-05-31,0.0,0.010292739690310526,-0.11671966174714436,0,0
ARG,1996-06-30,0.0,0.1171816973882176,-1.328840376191069,0,0
ARG,1996-07-31,0.0,-0.0832987331605124,0.9446075827229357,0,0
