iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,target,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
LKA,2017-04-30,2017,4,0.0010847831158715,0.0036657282291591,0.0028368598220557,0.0110294729401523,0.0053572367001187,0.0040405269489566,0.0325354012137562,0.004529667125382,0.0048762958129837,0.0555941626129259,1.2088374088925231,1.6292045229688723,0.0125042244001354,0.0125042244001354,0.3836447751044702,-0.1347245019937781,0.012856150104239,0.0126801872521872,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-05-31,2017,5,0.0039499670836076,0.0027480021326087,0.0014872411630644,0.0082644628099173,0.0050679974971615,0.0040743109684653,0.0307536329841167,0.003787485206996,0.0041115866739832,0.0463121783876507,1.4865996245320887,2.260088212340132,0.0125042244001354,0.0125042244001354,0.3911812165303622,1.0966671024354635,0.0125042244001354,0.0100390233386475,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-06-30,2017,6,0.006622950819672,0.003885900339717,0.0027696396497756,0.0116953591581132,0.004087785233751,0.0022070596790034,0.0247663551401868,0.0046252754196703,0.0034833889216211,0.0568674698795184,0.1387928060334189,-1.1860334590953991,0.0067031453732588,0.0067031453732588,0.7886606465240438,1.3843813681995856,0.0125042244001354,0.0100390233386475,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-07-31,2017,7,0.0014188000781709,0.0039972393271502,0.0026023974012098,0.0120329163923633,0.0038314837781546,0.0024415298965846,0.0231951060582564,0.004458597686655,0.0035925026266936,0.0547607971643939,0.214933128907307,-1.9225577493006416,0.0067031453732588,0.0067031453732588,0.8126792662366075,1.049020252604008,0.0125042244001354,0.0100390233386475,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-08-31,2017,8,-0.0058076678388684,0.0007446943529915,0.0062426664138854,0.0021967213114755,0.0017463482428001,0.0042044120529262,0.0104793388429753,0.0040470112748939,0.0044410362151688,0.0495467655541828,-1.2173192880803188,2.374832359425024,0.006622950819672,0.006622950819672,-0.3944720063295465,2.015893410603664,0.0125042244001354,0.0100390233386475,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-09-30,2017,9,0.0017227729250497,-0.0008886982785492,0.004262663020275,-0.0026819099732916,0.0014986010305839,0.0041443355939449,0.0089820832844542,0.0035594238288848,0.0043386384454108,0.0434519764808358,-1.0148310668846818,2.233729411009988,0.006622950819672,0.006622950819672,-0.0919995261064244,2.3602965859784626,0.0125042244001354,0.0096036848866971,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-10-31,2017,10,0.0032136215751581,-0.0002904244462201,0.0048358699749552,-0.0008944380912234,0.001853407440465,0.0041926677008084,0.0111277156023701,0.0036053220702918,0.0043311982471392,0.0440251615078419,-1.3412215844093465,2.7775206891879276,0.006622950819672,0.006622950819672,-0.1297134935813687,2.410833415399632,0.0125042244001354,0.0096036848866971,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-11-30,2017,11,0.0011387437878562,0.0020250460960213,0.0010699561955878,0.0060863022213499,0.0013848702245064,0.0040667021358759,0.008296393442623,0.003226433860834,0.0043315613410995,0.0393051706657661,-0.9912779686827164,2.5548561289145764,0.006622950819672,0.006622950819672,0.1538681694130167,2.4149417168085376,0.0125042244001354,0.0096036848866971,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2017-12-31,2017,12,-0.0059207154804856,-0.0005227833724904,0.0047884791677477,-0.0015904814096561,-0.0007057408255198,0.0040595688959857,-0.0042681258549929,0.0016910222041155,0.0039964727230055,0.0203925233644863,-0.8261333667913195,-1.8172520467473616,0.0032136215751581,0.0032136215751581,-1.0196603122775918,0.7730331210023631,0.0067031453732588,0.0066630480964654,0.0,0.0,0.0,,-2.212,4.733,-6.639,4.206,85.091,76.334,32.064,17.994,2.224,4.612,34.276
LKA,2018-01-31,2018,1,0.0059756056074129,0.0003978779715945,0.0059826645798401,0.0011582762713531,5.372676268716736e-05,0.0048798866402091,0.0002628021737123,0.0019426052704209,0.0041744477423571,0.0234640039562601,-0.4375192466098863,-1.5678309648778057,0.0059756056074129,0.0059756056074129,-0.997057663599415,0.4872434572916069,0.0067031453732588,0.0066630480964654,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-02-28,2018,2,0.0071770366044474,0.0024106422437915,0.0072401312320678,0.0071966868966448,0.0022178441699064,0.0046336085207893,0.0133267903294402,0.0019820962063533,0.0042255066226864,0.023945785123967,-1.098950273603618,1.636995280990483,0.0071770366044474,0.0071770366044474,-0.9436165473495648,0.4399238496894395,0.0071770366044474,0.0068999937120597,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
LKA,2018-03-31,2018,3,0.0071071686388353,0.0067532702835652,0.0006743827878558,0.0203964808432575,0.0031152434555374,0.0050235462569291,0.018773559209998,0.0023069222430606,0.0044711018648528,0.0279242681668219,-1.3996499332893664,1.7461035398192342,0.0071770366044474,0.0071770366044474,-0.8964995848630792,0.1276378131304922,0.0071770366044474,0.0071421026216413,0.0,0.0,0.0,,-1.981,9.116,-4.997,5.054,88.0,75.0,34.473,8.274,3.985,4.408,36.453
