iso3,date,year,month,target,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
STP,2001-11-30,2001,11,0,0.0063425253991289,0.006169221916477,0.0031581603721567,0.018612041210924,0.0008544581760258,0.0070161577258755,0.0050140263400839,0.0060422255364451,0.0755512742898978,0.0428305335739738,-0.5250122511348801,-0.5431581556518824,0.0092371622824514,0.0092371622824514,0.8754963517112128,5.673075770833625,0.1998448160535118,0.1105431428404286,0.0,0.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-12-31,2001,12,0,0.000654551183129,0.005411412954903,0.0043664094068688,0.016303061852255,0.0008327267301401,0.0070166180264669,0.0048830866722815,0.0064144438888146,0.0755093027804657,0.0475062858204669,-0.5109783972966948,-0.5596271681694742,0.0092371622824514,0.0092371622824514,0.8594138017492917,5.669903360849125,0.1998448160535118,0.1105431428404286,0.0,0.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2002-01-31,2002,1,0,0.007340590772874,0.0047792224517106,0.0036067601012487,0.0143932120129506,0.0027736369232804,0.0069212605593339,0.0166360084321335,0.0071846844043239,0.0754638825232576,0.0572067202915433,-1.4619166400351564,2.2440496845476643,0.0092371622824514,0.0092371622824514,0.8243670878150359,5.643563693693455,0.1998448160535118,0.1105431428404286,0.0,0.0,1.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-02-28,2002,2,0,-0.0144982566432457,-0.0021677048957475,0.011189622922476,-0.0066142951759574,0.0020007585103647,0.0086558627435462,0.0118746405005705,0.0057915863273363,0.0757177628207897,0.039572337792308,-1.794786962606633,3.4784911238870064,0.0092371622824514,0.0092371622824514,0.8798145234047962,5.605491966135241,0.1998448160535118,0.1105431428404286,0.0,0.0,1.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-03-31,2002,3,0,0.0067800660919636,-0.0001258665928027,0.012450009791202,-0.0005332765687586,0.0026427731810501,0.0088783866440142,0.0157610912426118,0.0045864693660545,0.0755644373955799,0.024851357957323,-1.9428200146292784,3.7992328450444863,0.0092371622824514,0.0092371622824514,0.941667673055444,5.76781119237634,0.1998448160535118,0.1045409891679815,0.0,0.0,1.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-04-30,2002,4,0,-0.00025069606984,-0.002656295540374,0.0108412147020249,-0.0080652261961362,0.0010614634556682,0.0082947176082456,0.0062119013062409,0.0170831517037123,0.0579945129671505,0.2057043478260876,-1.6756077798548126,2.921077806596248,0.007340590772874,0.007340590772874,3.3686335662238824,11.536231160941714,0.1998448160535118,0.1045409891679815,0.0,0.0,1.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-05-31,2002,5,0,0.0067427524010723,0.0044240408077319,0.0040484838808837,0.0133144371517692,0.0011281679559921,0.0083471244496655,0.0066120763583881,0.000991313066009,0.007352980411146,0.0116592558234958,-1.6615911254487548,2.85357177155523,0.007340590772874,0.007340590772874,-1.0382603243203268,0.3612802677322448,0.0092371622824514,0.0082888765276626,0.0,0.0,0.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-06-30,2002,6,0,-0.0002215264161985,0.0020901766383445,0.0040292752000961,0.0062674017459982,0.0009821550227709,0.0083647101119142,0.0057307829187414,0.0009074408764555,0.0073612838885884,0.0106418535007153,-1.5737783865645392,2.514923244137369,0.007340590772874,0.007340590772874,-0.9942171169891304,0.2748017913879819,0.0092371622824514,0.0082888765276626,0.0,0.0,0.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-07-31,2002,7,0,0.0021937076967171,0.0029049778938636,0.0035362018934414,0.008727742370715,0.0001243411767447,0.0078289841411099,0.0005921249581772,0.0014489890500126,0.0071797727611384,0.0172379839861078,-1.5836390256213926,2.995302927367544,0.0067800660919636,0.0067800660919636,-1.301275476710229,1.1915166823498773,0.0092371622824514,0.0082888765276626,0.0,0.0,0.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
STP,2002-08-31,2002,8,0,0.0004949787159151,0.0008223866654778,0.0012404579513715,0.0024676499794453,0.0026232137366049,0.0033261324136741,0.0158149425017786,0.0023119861234848,0.0062602493042714,0.0278773797590949,0.6951204565426552,-2.0129697660649377,0.0067800660919636,0.0067800660919636,-1.8198379216062153,4.578840790994576,0.0092371622824514,0.0082888765276626,0.0,0.0,0.0,-21.02,0.951,51.517,0.448,0.077,,8.637,10.683,11.011,9.6,
