iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m
ARG,2003-04-30,2003,4,-0.0546075085324232,-0.0426052011160645,0.032009578799764106,-0.12341772151898733,-0.03610585925278572,0.04206634068181267,-0.20172910662824184,-0.0019526766554774598,0.07985886593776241,-0.05460750853242258,1.1388433436533383,0.26119223775493994,0.0345821325648414,0.0345821325648414,1.9058551788717004,4.353697121350411,0.2116040955631397,0.13397106186607693,0.0,0.0,1.0
ARG,2003-05-31,2003,5,0.0108303249097472,-0.036885388171465236,0.04177606030494978,-0.10828025477707015,-0.04006449386196808,0.03452556606489698,-0.22005571030640647,-0.018683824209926835,0.0440552935053189,-0.21126760563380242,0.7575596950848567,-1.276046088770985,0.0108303249097472,0.0108303249097472,0.36728723886450976,-1.217703728311208,0.0563380281690142,0.045460080366927794,0.0,0.0,0.0
ARG,2003-06-30,2003,6,-0.0178571428571427,-0.0205447754932729,0.03280160115438747,-0.061433447098976024,-0.030505865396654366,0.03056110432613008,-0.1716867469879516,-0.024866755128773243,0.03725003867595605,-0.2666666666666663,0.20106810719611723,-1.8585726594668988,0.0108303249097472,0.0108303249097472,0.31994221314756416,-1.0982040253065712,0.0345821325648414,0.0326541947740408,0.0,0.0,0.0
ARG,2003-07-31,2003,7,0.0436363636363636,0.012203181896322699,0.03076973167653592,0.036101083032491266,-0.015201009609870898,0.04110648931109807,-0.091772151898734,-0.01900816927018738,0.04214777084024467,-0.21369863013698565,0.09847242523494751,-0.8580312678697848,0.0436363636363636,0.0436363636363636,0.18533151642495074,-1.493477212953295,0.0436363636363636,0.0391092481006025,0.0,0.0,0.0
ARG,2003-08-31,2003,8,0.0125435540069687,0.0127742582620632,0.03074740238714183,0.037857142857143034,-0.012055564954701017,0.042615501081586404,-0.07452229299363033,-0.016364699586958267,0.043119714582651965,-0.1882681564245806,-0.16441223205765657,-1.4589565759256984,0.0436363636363636,0.0436363636363636,-0.005181906135804934,-1.706954759633184,0.0436363636363636,0.0391092481006025,0.0,0.0,0.0
ARG,2003-09-30,2003,9,-0.0141087405368203,0.014023725702170668,0.028900993844131435,0.0418181818181822,-0.003260524895551117,0.03351088443860832,-0.022184300341296703,-0.020100949380296645,0.04053329052979896,-0.223577235772357,-0.23817976958120776,0.38277383821076594,0.0436363636363636,0.0436363636363636,0.1555771779713403,-1.3465966314724445,0.0436363636363636,0.0391092481006025,0.0,0.0,0.0
ARG,2003-10-31,2003,10,-0.0174520069808028,-0.0063390645035514654,0.01643804486517026,-0.019163763066202044,0.002932058696385616,0.024288654821545266,0.01624548736462139,-0.01658690027820005,0.03857631865466778,-0.18876080691642605,0.9718461311537574,0.18890230985280754,0.0436363636363636,0.0436363636363636,-0.031123500078267727,-1.002106989480641,0.0436363636363636,0.0391092481006025,0.0,0.0,0.0
ARG,2003-11-30,2003,11,0.0444049733570159,0.004281408613130935,0.03478821198978923,0.011699931176875289,0.008527833437597067,0.029730246002162116,0.050000000000000044,-0.01576833021218551,0.03984418973772868,-0.18105849582172662,0.4796789411614582,-2.3263026821099517,0.0444049733570159,0.0444049733570159,0.058028101202969674,-0.9445842854044891,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2003-12-31,2003,12,-0.0119047619047619,0.005016068157150402,0.03422436809667217,0.013961605584642323,0.00951989692966053,0.0287571086003523,0.056363636363636616,-0.010492984233496915,0.03517611135781732,-0.12499999999999967,0.4988322098597183,-2.2708978903485595,0.0444049733570159,0.0444049733570159,0.06654395101827039,-0.5260804958786094,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
ARG,2004-01-31,2004,1,0.0010327022375216,0.01117763789659187,0.029493835982421536,0.03303730017762008,0.002419286696520199,0.023411294942215874,0.013240418118467101,-0.006390861456675349,0.03319444846458682,-0.07974683544303762,1.3968810076956497,1.6508571466872812,0.0444049733570159,0.0444049733570159,-0.2037877313025817,0.11581937008486183,0.0444049733570159,0.04402066849668975,0.0,0.0,0.0
